"","date","tree","mature","egg","L1","L2","L3","L4","L5","imago","leaves"
"162",2005-05-02 12:00:00,"4.1",0,0,4,19,0,0,0,0,15
"163",2005-05-03 12:00:00,"4.1",0,0,1,12,1,0,0,0,15
"164",2005-05-04 12:00:00,"4.1",0,0,0,1,8,0,0,0,15
"165",2005-05-08 12:00:00,"4.1",0,0,0,0,0,0,0,0,15
"166",2005-05-11 12:00:00,"4.1",0,0,0,0,0,0,0,0,15
"167",2005-04-06 12:00:00,"4.2A",27,0,0,0,0,0,0,0,1
"168",2005-04-20 12:00:00,"4.2A",0,305,0,0,0,0,0,0,10
"169",2005-04-21 12:00:00,"4.2A",0,14,0,0,0,0,0,0,10
"170",2005-04-23 12:00:00,"4.2A",0,92,0,0,0,0,0,0,10
"171",2005-04-25 12:00:00,"4.2A",0,20,150,0,0,0,0,0,10
"172",2005-04-27 12:00:00,"4.2A",0,11,32,0,0,0,0,0,10
"173",2005-04-29 12:00:00,"4.2A",0,1,44,23,0,0,0,0,10
"174",2005-05-02 12:00:00,"4.2A",0,0,2,27,0,0,0,0,10
"175",2005-05-07 12:00:00,"4.2A",0,0,0,1,20,0,0,0,10
"176",2005-05-13 12:00:00,"4.2A",0,0,0,0,1,21,0,0,10
"177",2005-05-18 12:00:00,"4.2A",0,0,0,0,0,0,11,0,10
"178",2005-04-06 12:00:00,"4.2B",29,0,0,0,0,0,0,0,1
"179",2005-04-20 12:00:00,"4.2B",0,35,0,0,0,0,0,0,9
"180",2005-04-23 12:00:00,"4.2B",0,21,0,0,0,0,0,0,9
"181",2005-04-25 12:00:00,"4.2B",0,16,8,0,0,0,0,0,9
"182",2005-04-27 12:00:00,"4.2B",0,12,0,0,0,0,0,0,9
"183",2005-05-02 12:00:00,"4.2B",0,0,0,5,0,0,0,0,9
"184",2005-05-09 12:00:00,"4.2B",0,0,0,1,3,0,0,0,6
"185",2005-05-13 12:00:00,"4.2B",0,0,0,0,2,1,0,0,6
"186",2005-04-08 12:00:00,"4.3A",27,0,0,0,0,0,0,0,1
"187",2005-04-23 12:00:00,"4.3A",0,221,48,0,0,0,0,0,8
"188",2005-04-25 12:00:00,"4.3A",0,31,93,0,0,0,0,0,7
"189",2005-04-26 12:00:00,"4.3A",0,17,66,0,0,0,0,0,7
"190",2005-04-28 12:00:00,"4.3A",0,5,1,0,0,0,0,0,7
"191",2005-05-02 12:00:00,"4.3A",0,0,0,3,0,0,0,0,9
"192",2005-05-09 12:00:00,"4.3A",0,0,0,1,0,0,0,0,9
"193",2005-05-10 12:00:00,"4.3A",0,0,0,0,1,0,0,0,1
"194",2005-04-08 12:00:00,"4.3B",6,0,0,0,0,0,0,0,1
"195",2005-04-23 12:00:00,"4.3B",0,8,6,0,0,0,0,0,9
"196",2005-04-25 12:00:00,"4.3B",0,0,6,0,0,0,0,0,9
"197",2005-05-02 12:00:00,"4.3B",0,0,2,3,0,0,0,0,12
"198",2005-05-09 12:00:00,"4.3B",0,0,0,0,0,0,0,0,11
"199",2005-04-11 12:00:00,"5.1",31,0,0,0,0,0,0,0,1
"200",2005-04-25 12:00:00,"5.1",0,177,0,0,0,0,0,0,7
"201",2005-04-26 12:00:00,"5.1",0,0,0,0,0,0,0,0,7
"202",2005-04-27 12:00:00,"5.1",0,47,71,0,0,0,0,0,7
"203",2005-04-29 12:00:00,"5.1",0,6,52,0,0,0,0,0,7
"204",2005-05-02 12:00:00,"5.1",0,0,50,0,0,0,0,0,10
"205",2005-05-04 12:00:00,"5.1",0,0,11,26,0,0,0,0,9
"206",2005-05-09 12:00:00,"5.1",0,0,0,6,6,0,0,0,9
"207",2005-05-14 12:00:00,"5.1",0,0,0,0,5,1,0,0,10
"208",2005-05-16 12:00:00,"5.1",0,0,0,0,1,0,0,0,10
"209",2005-04-13 12:00:00,"5.2",49,0,0,0,0,0,0,0,1
"210",2005-04-26 12:00:00,"5.2",0,545,0,0,0,0,0,0,5
"211",2005-04-27 12:00:00,"5.2",0,127,55,0,0,0,0,0,5
"212",2005-04-28 12:00:00,"5.2",0,176,149,0,0,0,0,0,5
"213",2005-05-02 12:00:00,"5.2",0,0,185,5,0,0,0,0,7
"214",2005-05-04 12:00:00,"5.2",0,0,79,64,0,0,0,0,7
"215",2005-05-09 12:00:00,"5.2",0,0,0,53,62,0,0,0,7
"216",2005-05-13 12:00:00,"5.2",0,0,0,5,33,31,0,0,7
"217",2005-05-18 12:00:00,"5.2",0,0,0,0,3,35,0,0,6
"218",2005-05-20 12:00:00,"5.2",0,0,0,0,0,9,3,0,3
"219",2005-04-15 12:00:00,"5.3",47,0,0,0,0,0,0,0,1
"220",2005-04-29 12:00:00,"5.3",0,210,53,0,0,0,0,0,8
"221",2005-05-02 12:00:00,"5.3",0,82,2,0,0,0,0,0,8
"222",2005-05-07 12:00:00,"5.3",0,0,27,6,0,0,0,0,8
"223",2005-05-13 12:00:00,"5.3",0,0,0,19,8,0,0,0,8
"224",2005-05-18 12:00:00,"5.3",0,0,0,0,13,9,0,0,8
"225",2005-05-24 12:00:00,"5.3",0,0,0,0,0,6,0,0,8
"226",2005-04-17 12:00:00,"5.4",49,0,0,0,0,0,0,0,1
"227",2005-05-02 12:00:00,"5.4",0,69,244,0,0,0,0,0,7
"228",2005-05-07 12:00:00,"5.4",0,0,79,34,0,0,0,0,7
"229",2005-05-10 12:00:00,"5.4",0,0,8,28,0,0,0,0,7
"230",2005-05-13 12:00:00,"5.4",0,0,0,8,7,0,0,0,7
"231",2005-05-18 12:00:00,"5.4",0,0,0,0,5,2,0,0,8
"232",2005-05-20 12:00:00,"5.4",0,0,0,0,2,2,0,0,9
"233",2005-05-24 12:00:00,"5.4",0,0,0,0,0,2,0,0,9
"234",2005-05-25 12:00:00,"5.4",0,0,0,0,0,6,1,0,8
"235",2005-04-19 12:00:00,"6.1",47,0,0,0,0,0,0,0,1
"236",2005-05-02 12:00:00,"6.1",0,124,85,0,0,0,0,0,9
"237",2005-05-07 12:00:00,"6.1",0,0,0,0,0,0,0,0,5
"238",2005-04-21 12:00:00,"6.2",42,0,0,0,0,0,0,0,1
"239",2005-05-04 12:00:00,"6.2",0,24,44,0,0,0,0,0,10
"240",2005-04-23 12:00:00,"6.3",23,0,0,0,0,0,0,0,1
"241",2005-05-03 12:00:00,"6.3",0,1,0,0,0,0,0,0,1
"242",2005-05-04 12:00:00,"6.3",0,86,6,0,0,0,0,0,6
"243",2005-05-09 12:00:00,"6.3",0,0,28,0,0,0,0,0,6
"244",2005-05-10 12:00:00,"6.3",0,9,18,10,0,0,0,0,6
"245",2005-05-16 12:00:00,"6.3",0,0,1,12,7,0,0,0,7
"246",2005-05-20 12:00:00,"6.3",0,0,0,0,12,0,0,0,7
"247",2005-05-22 12:00:00,"6.3",0,0,0,0,14,3,0,0,7
"248",2005-05-27 12:00:00,"6.3",0,0,0,0,0,14,4,0,8
"249",2005-04-25 12:00:00,"7.1",20,0,0,0,0,0,0,0,1
"250",2005-05-07 12:00:00,"7.1",0,44,37,0,0,0,0,0,8
"251",2005-05-10 12:00:00,"7.1",0,21,31,0,0,0,0,0,8
"252",2005-05-13 12:00:00,"7.1",0,0,11,9,0,0,0,0,8
"253",2005-05-18 12:00:00,"7.1",0,0,0,7,7,0,0,0,9
"254",2005-05-24 12:00:00,"7.1",0,0,0,0,5,5,0,0,9
"255",2005-05-29 12:00:00,"7.1",0,0,0,0,0,4,15,0,12
"256",2005-04-27 12:00:00,"7.2A",35,0,0,0,0,0,0,0,1
"257",2005-05-09 12:00:00,"7.2A",0,5,9,0,0,0,0,0,6
"258",2005-05-13 12:00:00,"7.2A",0,0,5,1,0,0,0,0,6
"259",2005-05-14 12:00:00,"7.2A",0,0,1,0,0,0,0,0,6
"260",2005-05-16 12:00:00,"7.2A",0,0,0,0,0,0,0,0,4
"261",2005-04-27 12:00:00,"7.2B",21,0,0,0,0,0,0,0,1
