"","jours","numPsy","id"
"281",145,35,30
"282",55,0,31
"283",68,1,31
"284",82,6,31
"285",95,19,31
"286",104,9,31
"287",117,2,31
"288",124,4,31
"289",132,1,31
"290",142,4,31
"291",159,0,31
"292",132,0,32
"293",142,1,32
"294",159,15,32
"295",167,5,32
"296",177,0,32
"297",20,1,33
"298",28,0,33
"299",33,0,33
"300",39,0,33
"301",48,0,33
"302",54,0,33
"303",61,0,33
"304",69,1,33
"305",75,4,33
"306",84,11,33
"307",91,15,33
"308",96,17,33
"309",103,23,33
"310",109,12,33
"311",112,12,33
"312",117,7,33
"313",122,5,33
"314",124,12,33
"315",131,3,33
"316",140,0,33
"317",140,1,34
"318",147,7,34
"319",152,11,34
"320",160,39,34
"321",166,18,34
"322",175,3,34
"323",182,1,34
"324",189,0,34
"325",49,23,35
"326",56,19,35
"327",63,3,35
"328",84,22,35
"329",92,19,35
"330",107,18,35
"331",126,9,35
"332",134,4,35
"333",140,2,35
"334",147,2,35
"335",155,1,35
"336",147,1,36
"337",155,36,36
"338",162,23,36
"339",175,4,36
"340",183,8,36
"341",190,0,36
"342",38,0,39
"343",45,6,39
"344",52,4,39
"345",59,3,39
"346",66,19,39
"347",73,31,39
"348",87,35,39
"349",94,18,39
"350",101,13,39
"351",108,5,39
"352",115,0,39
"353",115,0,40
"354",122,2,40
"355",129,2,40
"356",136,22,40
"357",143,77,40
"358",150,33,40
"359",157,22,40
"360",164,10,40
"361",171,1,40
"362",178,0,40
"363",24,0,41
"364",38,1,41
"365",45,6,41
"366",52,25,41
"367",59,31,41
"368",66,68,41
"369",73,37,41
"370",80,42,41
"371",87,27,41
"372",94,42,41
"373",101,18,41
"374",108,15,41
"375",115,5,41
"376",122,0,41
"377",129,1,42
"378",136,41,42
"379",143,40,42
"380",150,33,42
"381",157,4,42
"382",164,2,42
"383",171,2,42
"384",178,0,42
"385",50,22,43
"386",57,20,43
"387",64,28,43
"388",71,44,43
"389",78,52,43
"390",85,52,43
"391",92,78,43
"392",99,58,43
"393",106,44,43
"394",113,22,43
"395",120,12,43
"396",127,2,43
"397",134,0,43
"398",134,0,44
"399",141,16,44
"400",148,24,44
"401",155,102,44
"402",162,0,44
