"","A","B","lat","long","type"
"991","not species A","species B",49.506067,8.211033,"B"
"992","not species A","species B",49.506652,6.524474,"B"
"993","not species A","species B",49.538217,6.977642,"B"
"994","not species A","species B",49.54125,6.887541,"B"
"995","not species A","species B",49.552852,7.242234,"B"
"996","not species A","species B",49.59317,7.065568,"B"
"997","not species A","species B",49.653728,6.449571,"B"
"998","not species A","species B",49.690274,6.46327,"B"
"999","not species A","species B",49.698936,6.573049,"B"
"1000","not species A","species B",50.065513,8.154174,"B"
"1001","not species A","species B",50.141732,8.068104,"B"
"1002","not species A","species B",50.338066,7.710518,"B"
"1003","not species A","species B",50.370579,8.015514,"B"
"1004","not species A","species B",50.390872,7.504448,"B"
"1005","not species A","species B",50.397973,7.461895,"B"
"1006","not species A","species B",50.585852,7.036764,"B"
"1007","not species A","species B",50.621061,7.402061,"B"
"1008","not species A","species B",50.692009,7.186204,"B"
"1009","not species A","species B",50.698688,7.192326,"B"
"1010","not species A","species B",50.850637,8.781041,"B"
"1011","not species A","species B",50.872609,13.525584,"B"
"1012","not species A","species B",50.984837,11.029851,"B"
"1013","not species A","species B",50.992359,10.986803,"B"
"1014","not species A","species B",50.997796,9.145267,"B"
"1015","not species A","species B",51.008917,13.874025,"B"
"1016","not species A","species B",51.025259,6.817228,"B"
"1017","not species A","species B",51.036411,13.892992,"B"
"1018","not species A","species B",51.037962,10.846176,"B"
"1019","not species A","species B",51.042713,10.827784,"B"
"1020","not species A","species B",51.04445,10.817617,"B"
"1021","not species A","species B",51.051828,10.830606,"B"
"1022","not species A","species B",51.053292,10.822516,"B"
"1023","not species A","species B",51.057339,10.823605,"B"
"1024","not species A","species B",51.112986,13.914218,"B"
"1025","not species A","species B",51.125402,11.200926,"B"
"1026","not species A","species B",51.217213,13.317747,"B"
"1027","not species A","species B",51.232934,6.922486,"B"
"1028","not species A","species B",51.325044,6.450202,"B"
"1029","not species A","species B",51.326391,6.444363,"B"
"1030","not species A","species B",51.326886,6.44647,"B"
"1031","not species A","species B",51.338761,6.585342,"B"
"1032","not species A","species B",51.357509,9.590625,"B"
"1033","not species A","species B",51.364349,6.42101,"B"
"1034","not species A","species B",51.503238,11.73814,"B"
"1035","not species A","species B",51.562696,12.886439,"B"
"1036","not species A","species B",52.113689,12.455465,"B"
"1037","not species A","species B",52.359414,13.308923,"B"
"1038","not species A","species B",52.438306,13.605776,"B"
"1039","not species A","species B",52.451756,13.436966,"B"
"1040","not species A","species B",53.644117,9.573435,"B"
"1042","not species A","species B",49.34994444,8.13818056,"B"
"1043","not species A","species B",49.37476389,8.20190833,"B"
"1044","not species A","species B",49.40223056,8.21857222,"B"
"1045","not species A","species B",49.40457778,8.21945833,"B"
"1079","not species A","species B",46.708282,17.765014,"B"
"1080","not species A","species B",46.708282,17.765014,"B"
"1081","not species A","species B",46.9829,17.941711,"B"
"1082","not species A","species B",46.9829,17.941711,"B"
"1083","not species A","species B",47.39111667,19.16323056,"B"
